Date,Hour,District,Latitude,Longitude,Vehicle_Type,Cause,Severity,Month,Province
2025-07-14,17,Rupandehi,27.447712580921586,83.37870562044003,Car,Speeding,Fatal,7,Lumbini
2025-02-19,17,Dang,28.025065113059654,82.3539212473285,Car,Speeding,Minor,2,Lumbini
2025-07-03,13,Jhapa,26.529730465018552,87.95993223627492,Bus,Speeding,Serious,7,Koshi
2025-06-26,15,Sunsari,26.55413545192962,87.12206246776981,Motorcycle,Drink Driving,Fatal,6,Koshi
2025-11-06,16,Dailekh,28.79411791888499,81.71928947126705,Motorcycle,Poor Road,Serious,11,Karnali
2025-05-16,21,Sindhupalchok,27.93717913453925,85.69812533549471,Truck,Poor Road,Minor,5,Bagmati
2025-01-23,19,Dhading,27.94186798486307,84.90731248256527,Car,Poor Road,Minor,1,Bagmati
2025-08-24,12,Lalitpur,27.670420856784286,85.38964005030309,Motorcycle,Speeding,Fatal,8,Bagmati
2025-10-02,18,Sindhuli,27.217850289537417,85.92746623018144,Motorcycle,Speeding,Serious,10,Bagmati
2025-03-05,16,Kaski,28.234832537873494,83.99780888272886,Motorcycle,Reckless Driving,Serious,3,Gandaki
2025-07-13,15,Sindhuli,27.198565264726355,85.93018356960168,Motorcycle,Reckless Driving,Fatal,7,Bagmati
2025-02-10,19,Bhaktapur,27.664854082099957,85.40710237407494,Car,Monsoon Weather,Serious,2,Bagmati
2025-10-10,21,Bara,26.998523969331526,85.06790881468548,Motorcycle,Drink Driving,Fatal,10,Madhesh
2025-05-31,20,Kavrepalanchok,27.64197100187104,85.54701693313726,Motorcycle,Monsoon Weather,Fatal,5,Bagmati
2025-11-18,15,Dhading,27.928809764529092,84.9635652275417,Motorcycle,Reckless Driving,Fatal,11,Bagmati
2025-11-13,17,Dhading,27.84178786277785,84.86005968811313,Truck,Speeding,Minor,11,Bagmati
2025-07-05,18,Kailali,28.706832199561063,80.64784165941637,Motorcycle,Reckless Driving,Serious,7,Sudurpashchim
2025-10-23,20,Kavrepalanchok,27.525800783270647,85.62744290403141,Truck,Speeding,Fatal,10,Bagmati
2025-04-09,16,Doti,29.192785056461183,80.87747698249949,Car,Speeding,Serious,4,Sudurpashchim
2025-12-27,17,Rukum East,28.666835910054363,82.54789707322414,Motorcycle,Speeding,Fatal,12,Lumbini
2025-02-05,14,Solukhumbu,27.696651825428802,86.77286626635937,Motorcycle,Drink Driving,Fatal,2,Koshi
2025-01-24,14,Terhathum,27.086183160775263,87.62238731116055,Motorcycle,Monsoon Weather,Fatal,1,Koshi
2025-12-05,20,Rupandehi,27.551807618469606,83.44696818039621,Motorcycle,Poor Road,Serious,12,Lumbini
2025-04-27,22,Terhathum,27.127844188660184,87.53959746866727,Motorcycle,Reckless Driving,Serious,4,Koshi
2025-05-29,17,Nawalparasi East,27.659395745314008,84.07928741392297,Truck,Monsoon Weather,Minor,5,Gandaki
2025-02-10,21,Bardiya,28.431402156048083,81.32845194311747,Bus,Poor Road,Minor,2,Lumbini
2025-04-30,19,Panchthar,27.150733591507144,87.82199150871368,Motorcycle,Monsoon Weather,Serious,4,Koshi
2025-02-21,16,Mahottari,26.807932366008995,85.77178604496572,Motorcycle,Monsoon Weather,Minor,2,Madhesh
2025-07-14,19,Sindhupalchok,27.947009660569325,85.6954660651092,Motorcycle,Reckless Driving,Serious,7,Bagmati
2025-05-23,22,Kapilvastu,27.565976585878722,83.0647978247411,Car,Monsoon Weather,Fatal,5,Lumbini
2025-08-21,17,Kailali,28.667645931716688,80.52887851537136,Motorcycle,Poor Road,Fatal,8,Sudurpashchim
2025-11-22,22,Lalitpur,27.570404407973104,85.25618416926694,Motorcycle,Speeding,Fatal,11,Bagmati
2025-07-06,10,Kanchanpur,28.846760112026242,80.37382900998134,Motorcycle,Reckless Driving,Fatal,7,Sudurpashchim
2025-03-25,20,Kaski,28.188314591884993,83.982029432552,Bus,Reckless Driving,Serious,3,Gandaki
2025-07-09,18,Bhaktapur,27.61349570705175,85.42816501642882,Truck,Poor Road,Serious,7,Bagmati
2025-07-01,17,Taplejung,27.293144784321118,87.6777942929918,Pedestrian,Monsoon Weather,Minor,7,Koshi
2025-04-18,18,Chitwan,27.649321386812936,84.45131176628848,Motorcycle,Speeding,Fatal,4,Bagmati
2025-12-10,12,Morang,26.692330194889134,87.27376038765092,Motorcycle,Reckless Driving,Serious,12,Koshi
2025-05-17,17,Okhaldhunga,27.28007955861146,86.43771976125288,Bus,Monsoon Weather,Minor,5,Koshi
2025-12-26,19,Lalitpur,27.62639607065531,85.26776590714222,Truck,Speeding,Serious,12,Bagmati
2025-12-16,22,Darchula,29.829728798419662,80.5868036489772,Motorcycle,Drink Driving,Fatal,12,Sudurpashchim
2025-11-28,16,Kathmandu,27.668094579644947,85.3450595119157,Car,Speeding,Fatal,11,Bagmati
2025-02-06,15,Kavrepalanchok,27.667016328201427,85.53409525985684,Motorcycle,Speeding,Serious,2,Bagmati
2025-11-08,16,Gulmi,28.000774905036003,83.26331564131135,Motorcycle,Speeding,Serious,11,Lumbini
2025-11-22,20,Solukhumbu,27.706640131759418,86.71146235572323,Motorcycle,Monsoon Weather,Fatal,11,Koshi
2025-03-29,18,Kaski,28.19280176516911,83.92394187544143,Motorcycle,Reckless Driving,Minor,3,Gandaki
2025-10-01,16,Sunsari,26.591956369331808,87.11455872053719,Motorcycle,Speeding,Fatal,10,Koshi
2025-05-06,19,Dailekh,28.920906100456538,81.76145121750652,Motorcycle,Poor Road,Serious,5,Karnali
2025-03-25,18,Dailekh,28.783424406692514,81.7026645582818,Motorcycle,Poor Road,Serious,3,Karnali
2025-08-25,20,Mahottari,26.806009335282347,85.78572433432389,Truck,Reckless Driving,Minor,8,Madhesh
2025-07-14,15,Rolpa,28.360295679720235,82.60440232318216,Motorcycle,Speeding,Fatal,7,Lumbini
2025-05-19,17,Kavrepalanchok,27.573474446939322,85.5032621366568,Motorcycle,Drink Driving,Serious,5,Bagmati
2025-11-24,16,Taplejung,27.39805197750504,87.67992288245829,Motorcycle,Speeding,Fatal,11,Koshi
2025-12-19,13,Kathmandu,27.694890473668195,85.27479749661806,Motorcycle,Speeding,Fatal,12,Bagmati
2025-10-13,18,Bardiya,28.373479419865138,81.47357494827817,Motorcycle,Monsoon Weather,Fatal,10,Lumbini
2025-04-23,18,Bhaktapur,27.673214390016934,85.40411188499893,Truck,Speeding,Fatal,4,Bagmati
2025-12-17,18,Chitwan,27.58342752677573,84.54463816094393,Bus,Reckless Driving,Minor,12,Bagmati
2025-06-16,17,Chitwan,27.554417429840456,84.44859297934921,Motorcycle,Speeding,Fatal,6,Bagmati
2025-01-29,13,Jajarkot,28.713589778934246,82.22643265655698,Motorcycle,Reckless Driving,Serious,1,Karnali
2025-04-28,16,Arghakhanchi,27.984034880473367,83.26111801452258,Car,Speeding,Serious,4,Lumbini
2025-01-17,16,Sindhupalchok,27.929387859310257,85.61205678339662,Motorcycle,Speeding,Fatal,1,Bagmati
2025-06-11,15,Rupandehi,27.57333577338095,83.43960190839,Motorcycle,Speeding,Fatal,6,Lumbini
2025-07-25,17,Kaski,28.2197212015477,84.00660885170053,Motorcycle,Speeding,Fatal,7,Gandaki
2025-05-18,19,Nawalparasi West,27.557442193392195,83.7528412047578,Motorcycle,Speeding,Fatal,5,Lumbini
2025-02-03,23,Dolakha,27.69082288801858,86.09860031588865,Motorcycle,Monsoon Weather,Fatal,2,Bagmati
2025-04-19,18,Nuwakot,27.90847609376279,85.19816978569358,Motorcycle,Monsoon Weather,Serious,4,Bagmati
2025-10-18,18,Dhading,27.838230109300476,84.83343226583997,Motorcycle,Monsoon Weather,Fatal,10,Bagmati
2025-06-11,17,Dhading,27.874330375290164,84.86973538488279,Car,Poor Road,Serious,6,Bagmati
2025-04-19,12,Bardiya,28.47258503215412,81.44537963879095,Truck,Speeding,Fatal,4,Lumbini
2025-12-02,17,Kathmandu,27.72558788724145,85.32282369424281,Motorcycle,Speeding,Fatal,12,Bagmati
2025-09-13,18,Palpa,27.746778804916264,83.67655306754948,Motorcycle,Monsoon Weather,Serious,9,Lumbini
2025-07-22,23,Manang,28.650006511718434,83.95710809639155,Motorcycle,Speeding,Fatal,7,Gandaki
2025-11-26,17,Bhaktapur,27.66900782331452,85.4798396818581,Motorcycle,Speeding,Fatal,11,Bagmati
2025-08-23,18,Sarlahi,27.06196656028437,85.47175454656903,Truck,Speeding,Fatal,8,Madhesh
2025-03-15,17,Bhaktapur,27.731807319160225,85.38343747479998,Motorcycle,Speeding,Serious,3,Bagmati
2025-05-16,14,Makwanpur,27.376235578234947,85.10564644325805,Motorcycle,Monsoon Weather,Fatal,5,Bagmati
2025-03-13,21,Kanchanpur,28.858218680958114,80.31539697277478,Motorcycle,Speeding,Fatal,3,Sudurpashchim
2025-05-07,20,Dailekh,28.86190940116742,81.75009924361943,Motorcycle,Poor Road,Fatal,5,Karnali
2025-10-15,20,Rupandehi,27.545809528433644,83.51241687575083,Motorcycle,Speeding,Fatal,10,Lumbini
2025-10-03,15,Gorkha,28.008439591615474,84.67482353483724,Bus,Speeding,Serious,10,Gandaki
2025-05-15,22,Bardiya,28.47938349294933,81.33864713759979,Motorcycle,Drink Driving,Serious,5,Lumbini
2025-10-27,13,Nawalparasi East,27.705927001528657,84.14997156123978,Motorcycle,Speeding,Fatal,10,Gandaki
2025-08-08,19,Chitwan,27.56201061412797,84.51809156958123,Motorcycle,Speeding,Fatal,8,Bagmati
2025-10-26,23,Palpa,27.72895448916192,83.60103377900273,Motorcycle,Overtaking,Fatal,10,Lumbini
2025-07-24,15,Nawalparasi East,27.709342491204264,84.10415384258224,Bus,Reckless Driving,Fatal,7,Gandaki
2025-07-05,16,Chitwan,27.568222383163107,84.57031694203438,Motorcycle,Monsoon Weather,Serious,7,Bagmati
2025-04-23,18,Terhathum,27.088570214048914,87.52733882117317,Motorcycle,Speeding,Fatal,4,Koshi
2025-03-12,16,Chitwan,27.570485863699737,84.5031124426428,Motorcycle,Speeding,Fatal,3,Bagmati
2025-09-18,13,Dhanusha,26.771118615061035,85.99811084814668,Motorcycle,Speeding,Fatal,9,Madhesh
2025-09-10,18,Tanahun,27.89233635292229,84.35079694961442,Bus,Poor Road,Serious,9,Gandaki
2025-02-16,14,Chitwan,27.58539530581633,84.47415688165887,Motorcycle,Drink Driving,Fatal,2,Bagmati
2025-01-25,19,Sunsari,26.62527213249911,87.18483556075897,Motorcycle,Speeding,Fatal,1,Koshi
2025-02-26,15,Chitwan,27.589287836100716,84.42905839570156,Motorcycle,Reckless Driving,Serious,2,Bagmati
2025-03-20,22,Siraha,26.697181260025733,86.31564763534243,Motorcycle,Reckless Driving,Fatal,3,Madhesh
2025-11-18,15,Sindhupalchok,27.91522009695224,85.7077473280395,Motorcycle,Drink Driving,Fatal,11,Bagmati
2025-03-23,17,Jajarkot,28.62293578586778,82.24090908432792,Motorcycle,Reckless Driving,Serious,3,Karnali
2025-12-15,20,Taplejung,27.31245479596911,87.62960349539458,Truck,Speeding,Fatal,12,Koshi
2025-08-05,14,Kailali,28.704465572471026,80.55454809615023,Car,Drink Driving,Serious,8,Sudurpashchim
2025-11-02,18,Siraha,26.811515410172085,86.28365900469224,Motorcycle,Speeding,Fatal,11,Madhesh
2025-02-02,21,Morang,26.641101177968167,87.40590756311278,Car,Speeding,Fatal,2,Koshi
2025-07-17,13,Gulmi,28.068535023107398,83.26677272253482,Motorcycle,Speeding,Fatal,7,Lumbini
2025-07-15,18,Rautahat,26.987321633244235,85.3330711008548,Bus,Monsoon Weather,Serious,7,Madhesh
2025-11-02,18,Nawalparasi East,27.72572171893822,84.21290219494071,Motorcycle,Overtaking,Fatal,11,Gandaki
2025-08-28,20,Surkhet,28.574789249341183,81.67971166068605,Car,Speeding,Serious,8,Karnali
2025-09-28,14,Dhading,27.82056074616497,84.82442076092936,Motorcycle,Speeding,Fatal,9,Bagmati
2025-05-09,14,Pyuthan,28.151814482427394,82.75191402989329,Motorcycle,Reckless Driving,Fatal,5,Lumbini
2025-10-11,19,Kaski,28.129723082943396,83.93794369171785,Bus,Drink Driving,Serious,10,Gandaki
2025-01-06,18,Bhaktapur,27.65817602463694,85.45689060326934,Motorcycle,Speeding,Fatal,1,Bagmati
2025-12-15,18,Morang,26.66989368424819,87.30801939480966,Motorcycle,Poor Road,Minor,12,Koshi
2025-02-28,19,Bardiya,28.40052327169609,81.46819425686378,Motorcycle,Speeding,Fatal,2,Lumbini
2025-12-16,15,Morang,26.7004012443174,87.32171036557308,Motorcycle,Speeding,Fatal,12,Koshi
2025-10-02,18,Dhading,27.97716232981691,84.93337926406963,Car,Monsoon Weather,Minor,10,Bagmati
2025-05-17,18,Bhaktapur,27.599991896906687,85.34562571412619,Motorcycle,Speeding,Fatal,5,Bagmati
2025-11-25,15,Banke,27.996945271841607,81.68645693888803,Truck,Speeding,Serious,11,Lumbini
2025-06-24,23,Kathmandu,27.64939822813479,85.3218378830734,Motorcycle,Speeding,Fatal,6,Bagmati
2025-02-27,19,Rautahat,26.934921619228934,85.36734178525283,Motorcycle,Reckless Driving,Fatal,2,Madhesh
2025-05-31,14,Panchthar,27.07503369817337,87.8353011290497,Motorcycle,Speeding,Fatal,5,Koshi
2025-08-11,19,Jhapa,26.621180102705686,87.82098058357019,Bus,Speeding,Fatal,8,Koshi
2025-03-22,15,Saptari,26.5942616299518,86.6739449689131,Motorcycle,Drink Driving,Serious,3,Madhesh
2025-08-21,20,Solukhumbu,27.715390842608464,86.70294520715754,Motorcycle,Speeding,Fatal,8,Koshi
2025-01-02,21,Rautahat,26.93199104203176,85.23764427652425,Motorcycle,Reckless Driving,Serious,1,Madhesh
2025-05-15,15,Jhapa,26.53136144391884,87.97043747085966,Motorcycle,Speeding,Serious,5,Koshi
2025-09-14,20,Kathmandu,27.730865464250893,85.37881901859025,Truck,Speeding,Serious,9,Bagmati
2025-04-02,19,Bhaktapur,27.648633063414398,85.34691419192801,Motorcycle,Reckless Driving,Fatal,4,Bagmati
2025-09-17,20,Saptari,26.67589082195271,86.67274767850598,Motorcycle,Speeding,Fatal,9,Madhesh
2025-02-24,23,Kaski,28.271624264492974,83.95898838781586,Truck,Speeding,Fatal,2,Gandaki
2025-11-17,17,Kathmandu,27.6216144648035,85.35026515707591,Truck,Speeding,Fatal,11,Bagmati
2025-06-02,15,Morang,26.726886448645015,87.42450011565401,Motorcycle,Speeding,Fatal,6,Koshi
2025-11-24,15,Sunsari,26.54574992179239,87.09899964897059,Car,Speeding,Fatal,11,Koshi
2025-09-17,15,Bhaktapur,27.68048622633915,85.44196877222853,Pedestrian,Speeding,Fatal,9,Bagmati
2025-11-08,17,Kathmandu,27.738306866186537,85.26896805767554,Motorcycle,Speeding,Fatal,11,Bagmati
2025-04-12,19,Bhaktapur,27.74344113388231,85.44219828100628,Bicycle,Speeding,Serious,4,Bagmati
2025-03-20,18,Kathmandu,27.755527507019288,85.32641051444546,Motorcycle,Speeding,Serious,3,Bagmati
2025-07-11,20,Lalitpur,27.63628429561438,85.39634926505519,Bus,Speeding,Fatal,7,Bagmati
2025-03-24,18,Dang,28.013139419331175,82.35869977324786,Bus,Drink Driving,Fatal,3,Lumbini
2025-10-04,22,Taplejung,27.422526783418608,87.68805674032139,Motorcycle,Speeding,Fatal,10,Koshi
2025-09-29,17,Dhanusha,26.757830188562988,85.8705617361457,Motorcycle,Reckless Driving,Fatal,9,Madhesh
2025-01-01,23,Kapilvastu,27.52640314251824,83.00213619456818,Motorcycle,Poor Road,Fatal,1,Lumbini
2025-11-03,19,Kaski,28.14976134909696,83.94076140723197,Motorcycle,Speeding,Serious,11,Gandaki
2025-06-15,15,Kavrepalanchok,27.568789542031627,85.52761047896811,Motorcycle,Reckless Driving,Fatal,6,Bagmati
2025-09-08,14,Kapilvastu,27.587286030411022,82.98581861415296,Motorcycle,Reckless Driving,Serious,9,Lumbini
2025-01-10,19,Lalitpur,27.576777909112444,85.34783111185168,Truck,Reckless Driving,Serious,1,Bagmati
2025-02-27,17,Panchthar,27.105973571974893,87.76106307235521,Motorcycle,Speeding,Fatal,2,Koshi
2025-07-05,20,Sunsari,26.621510390586938,87.20242870515257,Motorcycle,Speeding,Fatal,7,Koshi
2025-06-07,19,Nuwakot,27.88843086545859,85.22257911440832,Bus,Speeding,Serious,6,Bagmati
2025-05-03,17,Bhaktapur,27.742571555813626,85.47433991933785,Car,Speeding,Serious,5,Bagmati
2025-01-30,15,Kavrepalanchok,27.588160129680386,85.57315469405036,Bus,Reckless Driving,Minor,1,Bagmati
2025-05-04,13,Bhaktapur,27.61833134750655,85.42968354958322,Motorcycle,Speeding,Fatal,5,Bagmati
2025-10-18,16,Sarlahi,27.077012526582152,85.5529304184324,Motorcycle,Speeding,Fatal,10,Madhesh
2025-02-10,20,Surkhet,28.668422127870425,81.58517358728052,Motorcycle,Overtaking,Serious,2,Karnali
2025-02-13,18,Bara,27.12981517234954,85.01267520563641,Motorcycle,Drink Driving,Serious,2,Madhesh
2025-09-06,14,Kanchanpur,28.72676303907775,80.31388076747062,Motorcycle,Speeding,Fatal,9,Sudurpashchim
2025-02-05,18,Myagdi,28.463931631308736,83.42519701152574,Motorcycle,Speeding,Fatal,2,Gandaki
2025-09-30,19,Rautahat,27.051336528751147,85.26411674191692,Motorcycle,Monsoon Weather,Fatal,9,Madhesh
2025-03-06,15,Chitwan,27.62744776864744,84.46611481327294,Motorcycle,Speeding,Serious,3,Bagmati
2025-03-07,18,Gulmi,28.001092216619803,83.37582969185671,Motorcycle,Drink Driving,Serious,3,Lumbini
2025-12-04,18,Kathmandu,27.6778632524408,85.3362201938309,Motorcycle,Monsoon Weather,Fatal,12,Bagmati
2025-09-01,14,Bhaktapur,27.687597038850317,85.42967575714776,Motorcycle,Speeding,Fatal,9,Bagmati
2025-10-09,19,Jhapa,26.616351318963396,87.9279105714187,Motorcycle,Speeding,Serious,10,Koshi
2025-03-26,19,Syangja,27.98459728065679,83.85798086152388,Motorcycle,Reckless Driving,Serious,3,Gandaki
2025-05-16,21,Dhanusha,26.698970063858553,85.95707788121767,Car,Speeding,Serious,5,Madhesh
2025-09-28,21,Dadeldhura,29.372088059511,80.62006362078085,Motorcycle,Speeding,Fatal,9,Sudurpashchim
2025-11-07,13,Lalitpur,27.70071495207598,85.34456971608722,Motorcycle,Speeding,Serious,11,Bagmati
2025-08-05,15,Baitadi,29.60429933816606,80.57111806077523,Motorcycle,Overtaking,Serious,8,Sudurpashchim
2025-04-19,19,Arghakhanchi,27.913667476405237,83.14714577300107,Truck,Speeding,Fatal,4,Lumbini
2025-10-04,19,Makwanpur,27.447438520053204,85.08229798829187,Motorcycle,Reckless Driving,Fatal,10,Bagmati
2025-12-20,19,Dhading,27.856350600509153,84.82065623206883,Car,Speeding,Fatal,12,Bagmati
2025-04-13,23,Salyan,28.37486961853387,82.22501749367486,Car,Poor Road,Serious,4,Karnali
2025-06-09,19,Dhading,27.931194793696935,84.8842120710306,Motorcycle,Speeding,Fatal,6,Bagmati
2025-07-24,21,Bhojpur,27.120812175575495,87.02697434780076,Motorcycle,Reckless Driving,Serious,7,Koshi
2025-12-10,20,Nuwakot,27.8471743093282,85.13700893141008,Truck,Monsoon Weather,Fatal,12,Bagmati
2025-11-29,19,Dang,28.065078779611607,82.37962405414007,Car,Poor Road,Minor,11,Lumbini
2025-07-11,17,Parsa,27.096258310335326,84.77872360942052,Motorcycle,Overtaking,Minor,7,Madhesh
2025-08-13,20,Doti,29.172756977143393,80.89386546892183,Bus,Speeding,Fatal,8,Sudurpashchim
2025-09-22,15,Bhojpur,27.122771399532137,87.01822798588776,Car,Speeding,Fatal,9,Koshi
2025-08-20,17,Kailali,28.652139317710663,80.64388169094919,Motorcycle,Drink Driving,Fatal,8,Sudurpashchim
2025-03-03,16,Sindhupalchok,27.98401247091956,85.70159224252177,Motorcycle,Speeding,Fatal,3,Bagmati
2025-05-07,18,Kaski,28.181954857132673,84.04544655061028,Motorcycle,Speeding,Serious,5,Gandaki
2025-04-26,23,Dang,28.075125206645602,82.24778229002007,Car,Drink Driving,Serious,4,Lumbini
2025-02-02,12,Lalitpur,27.6056820226259,85.32410096448005,Motorcycle,Monsoon Weather,Minor,2,Bagmati
2025-06-23,20,Kathmandu,27.634600091085158,85.30983174381169,Motorcycle,Speeding,Fatal,6,Bagmati
2025-01-11,13,Syangja,28.013086602364435,83.80353177138197,Motorcycle,Reckless Driving,Minor,1,Gandaki
2025-10-29,16,Kaski,28.17294537329248,83.98679132897236,Motorcycle,Speeding,Fatal,10,Gandaki
2025-10-11,21,Ramechhap,27.423408152681418,86.05296278468661,Motorcycle,Speeding,Fatal,10,Bagmati
2025-04-28,18,Sunsari,26.624773017343042,87.07694347106498,Motorcycle,Speeding,Fatal,4,Koshi
2025-10-29,14,Rupandehi,27.43062662471703,83.45829251587578,Motorcycle,Reckless Driving,Serious,10,Lumbini
2025-04-23,15,Chitwan,27.51679026885247,84.4235754861483,Car,Speeding,Fatal,4,Bagmati
2025-01-04,20,Kathmandu,27.647442079623683,85.33037586735992,Motorcycle,Reckless Driving,Serious,1,Bagmati
2025-02-06,15,Bhaktapur,27.70253455272303,85.37239657026262,Motorcycle,Speeding,Fatal,2,Bagmati
2025-12-29,18,Taplejung,27.37692150995331,87.60919621297587,Car,Monsoon Weather,Minor,12,Koshi
2025-11-20,18,Bhojpur,27.188153188261,87.03591354878333,Motorcycle,Speeding,Fatal,11,Koshi
2025-01-31,16,Chitwan,27.604607921493375,84.57920844039668,Motorcycle,Drink Driving,Fatal,1,Bagmati
2025-04-28,23,Parsa,27.220050714437207,84.77068508125377,Motorcycle,Speeding,Fatal,4,Madhesh
2025-02-04,19,Dhading,27.961670202297967,84.83063852722796,Motorcycle,Overtaking,Fatal,2,Bagmati
2025-01-17,11,Kaski,28.272487453785576,83.94509210865596,Pedestrian,Speeding,Fatal,1,Gandaki
2025-06-19,18,Kanchanpur,28.781125572865804,80.23466211282812,Motorcycle,Reckless Driving,Minor,6,Sudurpashchim
2025-02-06,16,Kathmandu,27.637963641332625,85.35627849043668,Motorcycle,Monsoon Weather,Serious,2,Bagmati
2025-09-21,20,Parbat,28.271093157719726,83.71771975919269,Motorcycle,Monsoon Weather,Fatal,9,Gandaki
2025-05-02,15,Kathmandu,27.73453600248429,85.36191515913553,Car,Speeding,Fatal,5,Bagmati
2025-05-23,17,Bara,27.01205028392847,84.92723674094724,Motorcycle,Poor Road,Serious,5,Madhesh
2025-12-09,19,Kapilvastu,27.52029963902707,83.02610388527265,Motorcycle,Poor Road,Serious,12,Lumbini
2025-09-06,20,Dhading,27.85863427651187,84.82997083600787,Motorcycle,Monsoon Weather,Fatal,9,Bagmati
2025-04-20,14,Rautahat,26.948724526798987,85.23991982372287,Motorcycle,Speeding,Fatal,4,Madhesh
2025-10-04,16,Achham,29.166380540898782,81.24244275415346,Truck,Reckless Driving,Minor,10,Sudurpashchim
2025-03-09,16,Kathmandu,27.70602375423803,85.33489695281794,Motorcycle,Reckless Driving,Serious,3,Bagmati
